PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
448,1,1,34,0,0,26.55,1
449,3,2,5,2,1,19.2583,1
450,1,1,52,0,0,30.5,1
451,2,1,36,1,2,27.75,0
452,3,1,,1,0,19.9667,0
453,1,1,30,0,0,27.75,0
454,1,1,49,1,0,89.1042,1
455,3,1,,0,0,8.05,0
456,3,1,29,0,0,7.8958,1
457,1,1,65,0,0,26.55,0
458,1,2,,1,0,51.8625,1
459,2,2,50,0,0,10.5,1
460,3,1,,0,0,7.75,0
461,1,1,48,0,0,26.55,1
462,3,1,34,0,0,8.05,0
463,1,1,47,0,0,38.5,0
464,2,1,48,0,0,13,0
465,3,1,,0,0,8.05,0
466,3,1,38,0,0,7.05,0
467,2,1,,0,0,0,0
468,1,1,56,0,0,26.55,0
469,3,1,,0,0,7.725,0
470,3,2,0.75,2,1,19.2583,1
471,3,1,,0,0,7.25,0
472,3,1,38,0,0,8.6625,0
473,2,2,33,1,2,27.75,1
474,2,2,23,0,0,13.7917,1
475,3,2,22,0,0,9.8375,0
476,1,1,,0,0,52,0
477,2,1,34,1,0,21,0
478,3,1,29,1,0,7.0458,0
479,3,1,22,0,0,7.5208,0
480,3,2,2,0,1,12.2875,1
481,3,1,9,5,2,46.9,0
482,2,1,,0,0,0,0
483,3,1,50,0,0,8.05,0
484,3,2,63,0,0,9.5875,1
485,1,1,25,1,0,91.0792,1
486,3,2,,3,1,25.4667,0
487,1,2,35,1,0,90,1
488,1,1,58,0,0,29.7,0
489,3,1,30,0,0,8.05,0
490,3,1,9,1,1,15.9,1
491,3,1,,1,0,19.9667,0
492,3,1,21,0,0,7.25,0
493,1,1,55,0,0,30.5,0
494,1,1,71,0,0,49.5042,0
495,3,1,21,0,0,8.05,0
496,3,1,,0,0,14.4583,0
497,1,2,54,1,0,78.2667,1
498,3,1,,0,0,15.1,0
499,1,2,25,1,2,151.55,0
500,3,1,24,0,0,7.7958,0
501,3,1,17,0,0,8.6625,0
502,3,2,21,0,0,7.75,0
503,3,2,,0,0,7.6292,0
504,3,2,37,0,0,9.5875,0
505,1,2,16,0,0,86.5,1
506,1,1,18,1,0,108.9,0
507,2,2,33,0,2,26,1
508,1,1,,0,0,26.55,1
509,3,1,28,0,0,22.525,0
510,3,1,26,0,0,56.4958,1
511,3,1,29,0,0,7.75,1
512,3,1,,0,0,8.05,0
513,1,1,36,0,0,26.2875,1
514,1,2,54,1,0,59.4,1
515,3,1,24,0,0,7.4958,0
516,1,1,47,0,0,34.0208,0
517,2,2,34,0,0,10.5,1
518,3,1,,0,0,24.15,0
519,2,2,36,1,0,26,1
520,3,1,32,0,0,7.8958,0
521,1,2,30,0,0,93.5,1
522,3,1,22,0,0,7.8958,0
523,3,1,,0,0,7.225,0
524,1,2,44,0,1,57.9792,1
525,3,1,,0,0,7.2292,0
526,3,1,40.5,0,0,7.75,0
527,2,2,50,0,0,10.5,1
528,1,1,,0,0,221.7792,0
529,3,1,39,0,0,7.925,0
530,2,1,23,2,1,11.5,0
531,2,2,2,1,1,26,1
532,3,1,,0,0,7.2292,0
533,3,1,17,1,1,7.2292,0
534,3,2,,0,2,22.3583,1
535,3,2,30,0,0,8.6625,0
536,2,2,7,0,2,26.25,1
537,1,1,45,0,0,26.55,0
538,1,2,30,0,0,106.425,1
539,3,1,,0,0,14.5,0
540,1,2,22,0,2,49.5,1
541,1,2,36,0,2,71,1
542,3,2,9,4,2,31.275,0
543,3,2,11,4,2,31.275,0
544,2,1,32,1,0,26,1
545,1,1,50,1,0,106.425,0
546,1,1,64,0,0,26,0
547,2,2,19,1,0,26,1
548,2,1,,0,0,13.8625,1
549,3,1,33,1,1,20.525,0
550,2,1,8,1,1,36.75,1
551,1,1,17,0,2,110.8833,1
552,2,1,27,0,0,26,0
553,3,1,,0,0,7.8292,0
554,3,1,22,0,0,7.225,1
555,3,2,22,0,0,7.775,1
556,1,1,62,0,0,26.55,0
557,1,2,48,1,0,39.6,1
558,1,1,,0,0,227.525,0
559,1,2,39,1,1,79.65,1
560,3,2,36,1,0,17.4,1
561,3,1,,0,0,7.75,0
562,3,1,40,0,0,7.8958,0
563,2,1,28,0,0,13.5,0
564,3,1,,0,0,8.05,0
565,3,2,,0,0,8.05,0
566,3,1,24,2,0,24.15,0
567,3,1,19,0,0,7.8958,0
568,3,2,29,0,4,21.075,0
569,3,1,,0,0,7.2292,0
570,3,1,32,0,0,7.8542,1
571,2,1,62,0,0,10.5,1
572,1,2,53,2,0,51.4792,1
573,1,1,36,0,0,26.3875,1
574,3,2,,0,0,7.75,1
575,3,1,16,0,0,8.05,0
576,3,1,19,0,0,14.5,0
577,2,2,34,0,0,13,1
578,1,2,39,1,0,55.9,1
579,3,2,,1,0,14.4583,0
580,3,1,32,0,0,7.925,1
581,2,2,25,1,1,30,1
582,1,2,39,1,1,110.8833,1
583,2,1,54,0,0,26,0
584,1,1,36,0,0,40.125,0
585,3,1,,0,0,8.7125,0
586,1,2,18,0,2,79.65,1
587,2,1,47,0,0,15,0
588,1,1,60,1,1,79.2,1
589,3,1,22,0,0,8.05,0
590,3,1,,0,0,8.05,0
591,3,1,35,0,0,7.125,0
592,1,2,52,1,0,78.2667,1
593,3,1,47,0,0,7.25,0
594,3,2,,0,2,7.75,0
595,2,1,37,1,0,26,0
596,3,1,36,1,1,24.15,0
597,2,2,,0,0,33,1
598,3,1,49,0,0,0,0
599,3,1,,0,0,7.225,0
600,1,1,49,1,0,56.9292,1
601,2,2,24,2,1,27,1
602,3,1,,0,0,7.8958,0
603,1,1,,0,0,42.4,0
604,3,1,44,0,0,8.05,0
605,1,1,35,0,0,26.55,1
606,3,1,36,1,0,15.55,0
607,3,1,30,0,0,7.8958,0
608,1,1,27,0,0,30.5,1
609,2,2,22,1,2,41.5792,1
610,1,2,40,0,0,153.4625,1
611,3,2,39,1,5,31.275,0
612,3,1,,0,0,7.05,0
613,3,2,,1,0,15.5,1
614,3,1,,0,0,7.75,0
615,3,1,35,0,0,8.05,0
616,2,2,24,1,2,65,1
617,3,1,34,1,1,14.4,0
618,3,2,26,1,0,16.1,0
619,2,2,4,2,1,39,1
620,2,1,26,0,0,10.5,0
621,3,1,27,1,0,14.4542,0
622,1,1,42,1,0,52.5542,1
623,3,1,20,1,1,15.7417,1
624,3,1,21,0,0,7.8542,0
625,3,1,21,0,0,16.1,0
626,1,1,61,0,0,32.3208,0
627,2,1,57,0,0,12.35,0
628,1,2,21,0,0,77.9583,1
629,3,1,26,0,0,7.8958,0
630,3,1,,0,0,7.7333,0
631,1,1,80,0,0,30,1
632,3,1,51,0,0,7.0542,0
633,1,1,32,0,0,30.5,1
634,1,1,,0,0,0,0
635,3,2,9,3,2,27.9,0
636,2,2,28,0,0,13,1
637,3,1,32,0,0,7.925,0
638,2,1,31,1,1,26.25,0
639,3,2,41,0,5,39.6875,0
640,3,1,,1,0,16.1,0
641,3,1,20,0,0,7.8542,0
642,1,2,24,0,0,69.3,1
643,3,2,2,3,2,27.9,0
644,3,1,,0,0,56.4958,1
645,3,2,0.75,2,1,19.2583,1
646,1,1,48,1,0,76.7292,1
647,3,1,19,0,0,7.8958,0
648,1,1,56,0,0,35.5,1
649,3,1,,0,0,7.55,0
650,3,2,23,0,0,7.55,1
651,3,1,,0,0,7.8958,0
652,2,2,18,0,1,23,1
653,3,1,21,0,0,8.4333,0
654,3,2,,0,0,7.8292,1
655,3,2,18,0,0,6.75,0
656,2,1,24,2,0,73.5,0
657,3,1,,0,0,7.8958,0
658,3,2,32,1,1,15.5,0
659,2,1,23,0,0,13,0
660,1,1,58,0,2,113.275,0
661,1,1,50,2,0,133.65,1
662,3,1,40,0,0,7.225,0
663,1,1,47,0,0,25.5875,0
664,3,1,36,0,0,7.4958,0
665,3,1,20,1,0,7.925,1
666,2,1,32,2,0,73.5,0
667,2,1,25,0,0,13,0
668,3,1,,0,0,7.775,0
669,3,1,43,0,0,8.05,0
670,1,2,,1,0,52,1
671,2,2,40,1,1,39,1
672,1,1,31,1,0,52,0
673,2,1,70,0,0,10.5,0
674,2,1,31,0,0,13,1
675,2,1,,0,0,0,0
676,3,1,18,0,0,7.775,0
677,3,1,24.5,0,0,8.05,0
678,3,2,18,0,0,9.8417,1
679,3,2,43,1,6,46.9,0
680,1,1,36,0,1,512.3292,1
681,3,2,,0,0,8.1375,0
682,1,1,27,0,0,76.7292,1
683,3,1,20,0,0,9.225,0
684,3,1,14,5,2,46.9,0
685,2,1,60,1,1,39,0
686,2,1,25,1,2,41.5792,0
687,3,1,14,4,1,39.6875,0
688,3,1,19,0,0,10.1708,0
689,3,1,18,0,0,7.7958,0
690,1,2,15,0,1,211.3375,1
691,1,1,31,1,0,57,1
692,3,2,4,0,1,13.4167,1
693,3,1,,0,0,56.4958,1
694,3,1,25,0,0,7.225,0
695,1,1,60,0,0,26.55,0
696,2,1,52,0,0,13.5,0
697,3,1,44,0,0,8.05,0
698,3,2,,0,0,7.7333,1
699,1,1,49,1,1,110.8833,0
700,3,1,42,0,0,7.65,0
701,1,2,18,1,0,227.525,1
702,1,1,35,0,0,26.2875,1
703,3,2,18,0,1,14.4542,0
704,3,1,25,0,0,7.7417,0
705,3,1,26,1,0,7.8542,0
706,2,1,39,0,0,26,0
707,2,2,45,0,0,13.5,1
708,1,1,42,0,0,26.2875,1
709,1,2,22,0,0,151.55,1
710,3,1,,1,1,15.2458,1
711,1,2,24,0,0,49.5042,1
712,1,1,,0,0,26.55,0
713,1,1,48,1,0,52,1
714,3,1,29,0,0,9.4833,0
715,2,1,52,0,0,13,0
716,3,1,19,0,0,7.65,0
717,1,2,38,0,0,227.525,1
718,2,2,27,0,0,10.5,1
719,3,1,,0,0,15.5,0
720,3,1,33,0,0,7.775,0
721,2,2,6,0,1,33,1
722,3,1,17,1,0,7.0542,0
723,2,1,34,0,0,13,0
724,2,1,50,0,0,13,0
725,1,1,27,1,0,53.1,1
726,3,1,20,0,0,8.6625,0
727,2,2,30,3,0,21,1
728,3,2,,0,0,7.7375,1
729,2,1,25,1,0,26,0
730,3,2,25,1,0,7.925,0
731,1,2,29,0,0,211.3375,1
732,3,1,11,0,0,18.7875,0
733,2,1,,0,0,0,0
734,2,1,23,0,0,13,0
735,2,1,23,0,0,13,0
736,3,1,28.5,0,0,16.1,0
737,3,2,48,1,3,34.375,0
738,1,1,35,0,0,512.3292,1
739,3,1,,0,0,7.8958,0
740,3,1,,0,0,7.8958,0
741,1,1,,0,0,30,1
742,1,1,36,1,0,78.85,0
743,1,2,21,2,2,262.375,1
744,3,1,24,1,0,16.1,0
745,3,1,31,0,0,7.925,1
746,1,1,70,1,1,71,0
747,3,1,16,1,1,20.25,0
748,2,2,30,0,0,13,1
749,1,1,19,1,0,53.1,0
750,3,1,31,0,0,7.75,0
751,2,2,4,1,1,23,1
752,3,1,6,0,1,12.475,1
753,3,1,33,0,0,9.5,0
754,3,1,23,0,0,7.8958,0
755,2,2,48,1,2,65,1
756,2,1,0.67,1,1,14.5,1
757,3,1,28,0,0,7.7958,0
758,2,1,18,0,0,11.5,0
759,3,1,34,0,0,8.05,0
760,1,2,33,0,0,86.5,1
761,3,1,,0,0,14.5,0
762,3,1,41,0,0,7.125,0
763,3,1,20,0,0,7.2292,1
764,1,2,36,1,2,120,1
765,3,1,16,0,0,7.775,0
766,1,2,51,1,0,77.9583,1
767,1,1,,0,0,39.6,0
768,3,2,30.5,0,0,7.75,0
769,3,1,,1,0,24.15,0
770,3,1,32,0,0,8.3625,0
771,3,1,24,0,0,9.5,0
772,3,1,48,0,0,7.8542,0
773,2,2,57,0,0,10.5,0
774,3,1,,0,0,7.225,0
775,2,2,54,1,3,23,1
776,3,1,18,0,0,7.75,0
777,3,1,,0,0,7.75,0
778,3,2,5,0,0,12.475,1
779,3,1,,0,0,7.7375,0
780,1,2,43,0,1,211.3375,1
781,3,2,13,0,0,7.2292,1
782,1,2,17,1,0,57,1
783,1,1,29,0,0,30,0
784,3,1,,1,2,23.45,0
785,3,1,25,0,0,7.05,0
786,3,1,25,0,0,7.25,0
787,3,2,18,0,0,7.4958,1
788,3,1,8,4,1,29.125,0
789,3,1,1,1,2,20.575,1
790,1,1,46,0,0,79.2,0
791,3,1,,0,0,7.75,0
792,2,1,16,0,0,26,0
793,3,2,,8,2,69.55,0
794,1,1,,0,0,30.6958,0
795,3,1,25,0,0,7.8958,0
796,2,1,39,0,0,13,0
797,1,2,49,0,0,25.9292,1
798,3,2,31,0,0,8.6833,1
799,3,1,30,0,0,7.2292,0
800,3,2,30,1,1,24.15,0
801,2,1,34,0,0,13,0
802,2,2,31,1,1,26.25,1
803,1,1,11,1,2,120,1
804,3,1,0.42,0,1,8.5167,1
805,3,1,27,0,0,6.975,1
806,3,1,31,0,0,7.775,0
807,1,1,39,0,0,0,0
808,3,2,18,0,0,7.775,0
809,2,1,39,0,0,13,0
810,1,2,33,1,0,53.1,1
811,3,1,26,0,0,7.8875,0
812,3,1,39,0,0,24.15,0
813,2,1,35,0,0,10.5,0
814,3,2,6,4,2,31.275,0
815,3,1,30.5,0,0,8.05,0
816,1,1,,0,0,0,0
817,3,2,23,0,0,7.925,0
818,2,1,31,1,1,37.0042,0
819,3,1,43,0,0,6.45,0
820,3,1,10,3,2,27.9,0
821,1,2,52,1,1,93.5,1
822,3,1,27,0,0,8.6625,1
823,1,1,38,0,0,0,0
824,3,2,27,0,1,12.475,1
825,3,1,2,4,1,39.6875,0
826,3,1,,0,0,6.95,0
827,3,1,,0,0,56.4958,0
828,2,1,1,0,2,37.0042,1
829,3,1,,0,0,7.75,1
830,1,2,62,0,0,80,1
831,3,2,15,1,0,14.4542,1
832,2,1,0.83,1,1,18.75,1
833,3,1,,0,0,7.2292,0
834,3,1,23,0,0,7.8542,0
835,3,1,18,0,0,8.3,0
836,1,2,39,1,1,83.1583,1
837,3,1,21,0,0,8.6625,0
838,3,1,,0,0,8.05,0
839,3,1,32,0,0,56.4958,1
840,1,1,,0,0,29.7,1
841,3,1,20,0,0,7.925,0
842,2,1,16,0,0,10.5,0
843,1,2,30,0,0,31,1
844,3,1,34.5,0,0,6.4375,0
845,3,1,17,0,0,8.6625,0
846,3,1,42,0,0,7.55,0
847,3,1,,8,2,69.55,0
848,3,1,35,0,0,7.8958,0
849,2,1,28,0,1,33,0
850,1,2,,1,0,89.1042,1
851,3,1,4,4,2,31.275,0
852,3,1,74,0,0,7.775,0
853,3,2,9,1,1,15.2458,0
854,1,2,16,0,1,39.4,1
855,2,2,44,1,0,26,0
856,3,2,18,0,1,9.35,1
857,1,2,45,1,1,164.8667,1
858,1,1,51,0,0,26.55,1
859,3,2,24,0,3,19.2583,1
860,3,1,,0,0,7.2292,0
861,3,1,41,2,0,14.1083,0
862,2,1,21,1,0,11.5,0
863,1,2,48,0,0,25.9292,1
864,3,2,,8,2,69.55,0
865,2,1,24,0,0,13,0
866,2,2,42,0,0,13,1
867,2,2,27,1,0,13.8583,1
868,1,1,31,0,0,50.4958,0
869,3,1,,0,0,9.5,0
870,3,1,4,1,1,11.1333,1
871,3,1,26,0,0,7.8958,0
872,1,2,47,1,1,52.5542,1
873,1,1,33,0,0,5,0
874,3,1,47,0,0,9,0
875,2,2,28,1,0,24,1
876,3,2,15,0,0,7.225,1
877,3,1,20,0,0,9.8458,0
878,3,1,19,0,0,7.8958,0
879,3,1,,0,0,7.8958,0
880,1,2,56,0,1,83.1583,1
881,2,2,25,0,1,26,1
882,3,1,33,0,0,7.8958,0
883,3,2,22,0,0,10.5167,0
884,2,1,28,0,0,10.5,0
885,3,1,25,0,0,7.05,0
886,3,2,39,0,5,29.125,0
887,2,1,27,0,0,13,0
888,1,2,19,0,0,30,1
889,3,2,,1,2,23.45,0
890,1,1,26,0,0,30,1
891,3,1,32,0,0,7.75,0
